2024.11.29 17:34:18, 
2024.11.29 17:34:18, MHSDKManager::GetInstance() g_MHSDKInitCount:1.
2024.11.29 17:34:18, MotionHouseSDK.ini load fail.. ini file path :D:\Interactive\Safe_Gintotal\MotionHouseSDK.ini
2024.11.29 17:34:18, SystemOptions SYS_CFG_USE_BELT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_BELT_CMD_INPORT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_BELT_CMD_OUTPORT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_USE_HIWIN_UART_MOTION, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_DATA_FORWARD_PORT, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_USE_ALWAYS_MAX_SPEED, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_STEWART_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_STEWART_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_4DOF_GEARS_KI_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_4DOF_GEARS_KI_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_3DOF_TOP_KI_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_3DOF_TOP_KI_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_3DOF_BASE_KI_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_3DOF_BASE_KI_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_4UN_VER2_5MM_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_4UN_VER2_5MM_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_6DOF_GEARS_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_CAC_6DOF_GEARS_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_SURGE_TL_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_SURGE_TL_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_NT_3DOF_GEAR_STRENGTH, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_NT_3DOF_GEAR_INERTIA, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_HIU_4DOF_TOP_SMF_BASE, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_HIU_4DOF_TOP_SMF_DIFF, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_HIU_3DOF_BASE_SMF_BASE, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_HIU_3DOF_BASE_SMF_DIFF, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_HIU_4DOF_TOP_SYNC_MODE, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RECONNECT_DEVICE, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_RECONNECT_DELAY, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_WIND_MIN_PWM, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_WIND_MAX_PWM, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_WIND_V2_MIN_PWM, 0
2024.11.29 17:34:18, SystemOptions SYS_CFG_WIND_V2_MAX_PWM, 0
